Index,X_length,Y_length,U1,U2,Z_length
179,2360000.0,-7761109.3,3.2374955,-7.2624295,2.5211488
180,2440000.0,-7761109.3,3.3180019,-7.2074555,2.5165636
181,2520000.0,-7761109.3,3.3959111,-7.1513623,2.5118934
182,2600000.0,-7761109.3,3.471152,-7.0942074,2.5071456
183,2680000.0,-7761109.3,3.5437238,-7.0360492,2.5023221
184,2760000.0,-7761109.3,3.6135582,-6.9769449,2.4974398
185,2840000.0,-7761109.3,3.6806736,-6.9169531,2.492452
186,2920000.0,-7761109.3,3.7449808,-6.8561306,2.4874502
187,2956192.9,-7761109.3,3.7731781,-6.8283596,2.4850636
188,3008852.4,-7761109.3,3.8131784,-6.78768,2.4816448
189,3085470.4,-7761109.3,3.8692029,-6.7279448,2.4765328
190,3196947.2,-7761109.3,3.9460394,-6.6399548,2.4691053
191,3359142.4,-7761109.3,4.0480887,-6.5099414,2.458121
192,3595131.4,-7761109.3,4.1754629,-6.3172788,2.4421115
193,3938487.9,-7761109.3,4.3173401,-6.0321566,2.4182818
194,4438061.0,-7761109.3,4.4311067,-5.6120611,2.3839897
195,5164924.1,-7761109.3,4.4201082,-5.0101151,2.336442
196,6222487.3,-7761109.3,4.0575972,-4.148475,2.2736458
197,7761208.6,-7761109.3,3.0141129,-3.0141141,2.1853314
198,10000000.0,-7761109.3,0.0,0.0,2.1459721
201,-10000000.0,-6222352.8,0.0,0.0,2.2381956
202,-7761109.3,-6222352.8,-4.1485842,-4.057668,2.2736532
203,-6222352.8,-6222352.8,-6.2712337,-6.2712337,2.3722975
204,-5164788.2,-6222352.8,-7.0991329,-7.8553532,2.4886809
205,-4437939.7,-6222352.8,-7.2928362,-9.046313,2.585812
206,-3938387.5,-6222352.8,-7.2097074,-9.8923346,2.6621249
207,-3595052.6,-6222352.8,-7.0402267,-10.478776,2.7180748
208,-3359083.6,-6222352.8,-6.8678988,-10.879465,2.7575972
209,-3196905.6,-6222352.8,-6.7226129,-11.152136,2.7850474
210,-3085443.1,-6222352.8,-6.6098857,-11.337635,2.8040455
211,-3008836.5,-6222352.8,-6.5263678,-11.464031,2.817129
212,-2956185.9,-6222352.8,-6.4660619,-11.550312,2.8261137
213,-2920000.0,-6222352.8,-6.4232275,-11.609312,2.8322878
214,-2840000.0,-6222352.8,-6.3246795,-11.738821,2.8454845
215,-2760000.0,-6222352.8,-6.2207771,-11.866933,2.8586311
216,-2680000.0,-6222352.8,-6.1114935,-11.993509,2.8716519
217,-2600000.0,-6222352.8,-5.9969018,-12.118412,2.8845923
218,-2520000.0,-6222352.8,-5.8769891,-12.241498,2.8974224
219,-2440000.0,-6222352.8,-5.7518429,-12.362628,2.910129
220,-2360000.0,-6222352.8,-5.621476,-12.481658,2.9226869
221,-2280000.0,-6222352.8,-5.485986,-12.598444,2.9350757
222,-2200000.0,-6222352.8,-5.3454095,-12.712843,2.9472732
223,-2120000.0,-6222352.8,-5.1998542,-12.824712,2.9592595
224,-2040000.0,-6222352.8,-5.0493796,-12.933907,2.9710142
225,-1960000.0,-6222352.8,-4.8941049,-13.040287,2.9825175
226,-1880000.0,-6222352.8,-4.7341118,-13.143711,2.9937495
227,-1800000.0,-6222352.8,-4.5695315,-13.244039,3.0046907
228,-1720000.0,-6222352.8,-4.4004673,-13.341134,3.0153212
229,-1640000.0,-6222352.8,-4.2270635,-13.434863,3.025622
230,-1560000.0,-6222352.8,-4.0494437,-13.525091,3.0355738
231,-1480000.0,-6222352.8,-3.8677654,-13.611692,3.0451583
232,-1400000.0,-6222352.8,-3.6821714,-13.694539,3.0543569
233,-1320000.0,-6222352.8,-3.4928325,-13.773511,3.0631522
234,-1240000.0,-6222352.8,-3.2999094,-13.848491,3.0715269
235,-1160000.0,-6222352.8,-3.1035859,-13.919367,3.0794647
236,-1080000.0,-6222352.8,-2.904039,-13.986031,3.0869496
237,-1000000.0,-6222352.8,-2.7014647,-14.048382,3.0939668
238,-920000.0,-6222352.8,-2.4960548,-14.106324,3.1005018
239,-840000.0,-6222352.8,-2.2880167,-14.159766,3.1065414
240,-760000.0,-6222352.8,-2.077555,-14.208626,3.1120731
241,-680000.0,-6222352.8,-1.8648873,-14.252825,3.1170855
242,-600000.0,-6222352.8,-1.6502292,-14.292293,3.121568
243,-520000.0,-6222352.8,-1.4338068,-14.326968,3.1255113
244,-440000.0,-6222352.8,-1.215845,-14.356795,3.1289069
245,-360000.0,-6222352.8,-0.99657653,-14.381724,3.1317476
246,-280000.0,-6222352.8,-0.77623321,-14.401717,3.1340276
247,-200000.0,-6222352.8,-0.55505291,-14.416739,3.1357419
248,-120000.0,-6222352.8,-0.33327193,-14.426768,3.1368868
249,-40000.0,-6222352.8,-0.11113128,-14.431787,3.1374599
250,40000.0,-6222352.8,0.11113039,-14.431787,3.1374599
251,120000.0,-6222352.8,0.33327105,-14.426768,3.1368868
